Order_ID,Order_Date,Ship_Date,Segment,State,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-10000,2020-01-01,2020-01-06,Corporate,New York,East,Technology,Accessories,1248.71,4,0.0,418.59
ORD-10001,2020-01-02,2020-01-08,Consumer,New York,South,Office Supplies,Labels,368.68,10,0.3,29.35
ORD-10002,2020-01-03,2020-01-07,Corporate,Pennsylvania,East,Technology,Laptops,636.85,10,0.0,61.65
ORD-10003,2020-01-04,2020-01-06,Home Office,New York,East,Technology,Copiers,362.63,6,0.4,39.84
ORD-10004,2020-01-05,2020-01-09,Corporate,Ohio,West,Office Supplies,Labels,304.55,7,0.0,79.92
ORD-10005,2020-01-06,2020-01-12,Consumer,Washington,Central,Furniture,Chairs,139.11,2,0.1,40.48
ORD-10006,2020-01-06,2020-01-13,Consumer,Washington,East,Office Supplies,Art,417.9,6,0.4,-36.06
ORD-10007,2020-01-06,2020-01-13,Home Office,Texas,South,Technology,Copiers,709.11,2,0.1,39.02
ORD-10008,2020-01-07,2020-01-11,Consumer,California,Central,Furniture,Chairs,678.06,1,0.1,106.74
ORD-10009,2020-01-08,2020-01-12,Corporate,California,South,Furniture,Furnishings,920.7,5,0.1,80.44
ORD-10010,2020-01-11,2020-01-18,Consumer,Washington,Central,Technology,Accessories,1913.19,7,0.3,-111.26
ORD-10011,2020-01-12,2020-01-18,Consumer,Ohio,Central,Furniture,Furnishings,655.07,6,0.3,6.49
ORD-10012,2020-01-13,2020-01-19,Consumer,Pennsylvania,South,Furniture,Chairs,966.53,3,0.4,82.69
ORD-10013,2020-01-13,2020-01-18,Consumer,Washington,West,Furniture,Bookcases,479.38,5,0.2,49.99
ORD-10014,2020-01-14,2020-01-16,Home Office,Ohio,East,Office Supplies,Envelopes,300.28,8,0.2,-10.83
ORD-10015,2020-01-15,2020-01-19,Corporate,California,South,Office Supplies,Art,307.7,7,0.0,31.13
ORD-10016,2020-01-16,2020-01-19,Consumer,Michigan,West,Office Supplies,Binders,41.88,1,0.3,7.73
ORD-10017,2020-01-16,2020-01-22,Corporate,Pennsylvania,Central,Technology,Laptops,2903.77,1,0.4,268.65
ORD-10018,2020-01-17,2020-01-20,Corporate,Ohio,Central,Technology,Copiers,1052.92,10,0.0,83.5
ORD-10019,2020-01-17,2020-01-19,Corporate,Illinois,South,Office Supplies,Art,345.27,2,0.1,45.59
ORD-10020,2020-01-20,2020-01-24,Home Office,Pennsylvania,South,Office Supplies,Binders,69.8,2,0.4,-0.1
ORD-10021,2020-01-20,2020-01-22,Home Office,Illinois,East,Furniture,Furnishings,165.34,4,0.3,28.57
ORD-10022,2020-01-20,2020-01-27,Consumer,Ohio,South,Technology,Phones,924.58,6,0.0,230.0
ORD-10023,2020-01-21,2020-01-27,Corporate,Texas,Central,Furniture,Chairs,692.25,6,0.1,108.01
ORD-10024,2020-01-24,2020-01-28,Consumer,Florida,East,Technology,Phones,1730.79,1,0.3,-77.1
ORD-10025,2020-01-26,2020-01-28,Corporate,Georgia,Central,Office Supplies,Labels,485.1,10,0.1,112.81
ORD-10026,2020-01-26,2020-01-31,Home Office,Ohio,South,Technology,Accessories,2830.6,7,0.4,335.28
ORD-10027,2020-01-29,2020-02-05,Corporate,New York,East,Office Supplies,Paper,302.97,8,0.3,53.49
ORD-10028,2020-01-29,2020-02-03,Home Office,Michigan,East,Office Supplies,Art,53.36,3,0.1,3.14
ORD-10029,2020-01-29,2020-02-01,Home Office,Texas,West,Office Supplies,Paper,32.16,3,0.2,1.53
ORD-10030,2020-01-31,2020-02-03,Home Office,Illinois,Central,Furniture,Tables,838.49,5,0.0,110.18
ORD-10031,2020-01-31,2020-02-02,Consumer,Illinois,Central,Office Supplies,Labels,416.08,9,0.4,-17.88
ORD-10032,2020-02-01,2020-02-07,Consumer,Michigan,East,Office Supplies,Binders,147.66,6,0.4,1.89
ORD-10033,2020-02-02,2020-02-08,Consumer,Michigan,West,Technology,Phones,594.59,4,0.2,113.36
ORD-10034,2020-02-05,2020-02-10,Home Office,Georgia,South,Furniture,Chairs,241.65,5,0.2,59.46
ORD-10035,2020-02-07,2020-02-12,Corporate,New York,Central,Technology,Copiers,2362.29,3,0.0,258.94
ORD-10036,2020-02-08,2020-02-12,Consumer,Washington,South,Furniture,Furnishings,110.49,3,0.4,10.46
ORD-10037,2020-02-08,2020-02-14,Corporate,Texas,Central,Office Supplies,Art,356.36,9,0.2,60.12
ORD-10038,2020-02-09,2020-02-12,Corporate,New York,East,Technology,Accessories,2359.56,8,0.2,-65.56
ORD-10039,2020-02-09,2020-02-12,Corporate,Pennsylvania,West,Technology,Phones,1203.7,7,0.4,-138.71
ORD-10040,2020-02-10,2020-02-15,Consumer,Texas,Central,Technology,Accessories,2616.69,9,0.3,227.62
ORD-10041,2020-02-11,2020-02-16,Consumer,New York,South,Furniture,Bookcases,728.71,9,0.3,-58.98
ORD-10042,2020-02-12,2020-02-18,Consumer,California,Central,Technology,Laptops,1070.75,8,0.2,50.92
ORD-10043,2020-02-12,2020-02-15,Home Office,California,Central,Office Supplies,Envelopes,367.51,7,0.0,88.67
ORD-10044,2020-02-13,2020-02-19,Corporate,California,South,Furniture,Bookcases,1785.7,1,0.3,74.4
ORD-10045,2020-02-13,2020-02-19,Home Office,Illinois,Central,Office Supplies,Binders,68.6,7,0.0,18.11
ORD-10046,2020-02-14,2020-02-18,Consumer,New York,West,Furniture,Bookcases,1545.49,6,0.3,105.69
ORD-10047,2020-02-18,2020-02-24,Consumer,Michigan,East,Office Supplies,Art,387.77,7,0.4,-0.72
ORD-10048,2020-02-20,2020-02-25,Consumer,Washington,West,Technology,Phones,1663.65,9,0.3,47.02
ORD-10049,2020-02-20,2020-02-26,Home Office,Washington,Central,Technology,Laptops,271.17,7,0.1,8.78
ORD-10050,2020-02-21,2020-02-28,Home Office,Georgia,Central,Office Supplies,Art,25.4,8,0.4,1.04
ORD-10051,2020-02-21,2020-02-26,Consumer,Washington,South,Office Supplies,Art,164.03,2,0.2,16.82
ORD-10052,2020-02-22,2020-02-28,Home Office,Ohio,West,Office Supplies,Art,454.71,10,0.2,11.27
ORD-10053,2020-02-22,2020-02-25,Consumer,Georgia,South,Technology,Phones,1349.07,7,0.4,103.43
ORD-10054,2020-02-22,2020-02-27,Home Office,New York,West,Office Supplies,Binders,122.11,1,0.1,2.82
ORD-10055,2020-02-23,2020-02-29,Corporate,Florida,East,Furniture,Furnishings,650.53,9,0.3,-33.59
ORD-10056,2020-02-24,2020-03-02,Home Office,Florida,East,Furniture,Chairs,1866.43,6,0.4,172.53
ORD-10057,2020-02-24,2020-03-01,Consumer,Ohio,Central,Furniture,Furnishings,1303.47,6,0.4,145.26
ORD-10058,2020-02-25,2020-02-29,Consumer,Florida,South,Furniture,Bookcases,1626.98,9,0.2,9.71
ORD-10059,2020-02-25,2020-03-01,Home Office,Florida,Central,Technology,Accessories,2699.17,6,0.3,166.82
